Size, Type, Time, Cores
10000, "Parallel (4)", 0.002604, 4
10000, "Parallel (6)", 0.005442, 6
10000, "Parallel (8)", 0.012763, 8
10000, "Built-in", 0.002298, 1
10000, "Sequential", 0.002612, 1
10000, "Parallel (2)", 0.002786, 2
10000, "Parallel (4)", 0.002574, 4
10000, "Parallel (6)", 0.005110, 6
10000, "Parallel (8)", 0.022762, 8
10000, "Built-in", 0.002300, 1
10000, "Sequential", 0.002428, 1
10000, "Parallel (2)", 0.002697, 2
10000, "Parallel (4)", 0.002579, 4
10000, "Parallel (6)", 0.005204, 6
10000, "Parallel (8)", 0.023991, 8
10000, "Built-in", 0.002304, 1
10000, "Sequential", 0.002628, 1
10000, "Parallel (2)", 0.002454, 2
10000, "Parallel (4)", 0.002557, 4
10000, "Parallel (6)", 0.005084, 6
10000, "Parallel (8)", 0.026344, 8
10000, "Built-in", 0.002289, 1
10000, "Sequential", 0.002434, 1
10000, "Parallel (2)", 0.002658, 2
10000, "Parallel (4)", 0.003394, 4
10000, "Parallel (6)", 0.005127, 6
10000, "Parallel (8)", 0.014987, 8
10000, "Built-in", 0.002316, 1
100000, "Sequential", 0.028092, 1
100000, "Parallel (2)", 0.030148, 2
100000, "Parallel (4)", 0.025625, 4
100000, "Parallel (6)", 0.021407, 6
100000, "Parallel (8)", 0.034434, 8
100000, "Built-in", 0.027280, 1
100000, "Sequential", 0.032416, 1
100000, "Parallel (2)", 0.030740, 2
100000, "Parallel (4)", 0.024475, 4
100000, "Parallel (6)", 0.020967, 6
100000, "Parallel (8)", 0.035533, 8
100000, "Built-in", 0.027009, 1
100000, "Sequential", 0.032058, 1
100000, "Parallel (2)", 0.020400, 2
100000, "Parallel (4)", 0.022397, 4
100000, "Parallel (6)", 0.022367, 6
100000, "Parallel (8)", 0.035643, 8
100000, "Built-in", 0.028856, 1
100000, "Sequential", 0.033367, 1
100000, "Parallel (2)", 0.023490, 2
100000, "Parallel (4)", 0.025786, 4
100000, "Parallel (6)", 0.028227, 6
100000, "Parallel (8)", 0.037550, 8
100000, "Built-in", 0.027146, 1
100000, "Sequential", 0.030410, 1
100000, "Parallel (2)", 0.023205, 2
100000, "Parallel (4)", 0.020257, 4
100000, "Parallel (6)", 0.023527, 6
100000, "Parallel (8)", 0.039842, 8
100000, "Built-in", 0.027207, 1
1000000, "Sequential", 0.414023, 1
1000000, "Parallel (2)", 0.304805, 2
1000000, "Parallel (4)", 0.252026, 4
1000000, "Parallel (6)", 0.233022, 6
1000000, "Parallel (8)", 0.243628, 8
1000000, "Built-in", 0.331839, 1
1000000, "Sequential", 0.340399, 1
1000000, "Parallel (2)", 0.309322, 2
1000000, "Parallel (4)", 0.246722, 4
1000000, "Parallel (6)", 0.262811, 6
1000000, "Parallel (8)", 0.284609, 8
1000000, "Built-in", 0.394324, 1
1000000, "Sequential", 0.391302, 1
1000000, "Parallel (2)", 0.337667, 2
1000000, "Parallel (4)", 0.236001, 4
1000000, "Parallel (6)", 0.242434, 6
1000000, "Parallel (8)", 0.315190, 8
1000000, "Built-in", 0.409805, 1
1000000, "Sequential", 0.372664, 1
1000000, "Parallel (2)", 0.222643, 2
1000000, "Parallel (4)", 0.235205, 4
1000000, "Parallel (6)", 0.243667, 6
1000000, "Parallel (8)", 0.266232, 8
1000000, "Built-in", 0.320892, 1
1000000, "Sequential", 0.493357, 1
1000000, "Parallel (2)", 0.415892, 2
1000000, "Parallel (4)", 0.392898, 4
1000000, "Parallel (6)", 0.440596, 6
1000000, "Parallel (8)", 0.331377, 8
1000000, "Built-in", 0.518155, 1
