Size, Type, Time, Cores
10000, "Parallel (10)", 0.088050, 10
10000, "Parallel (11)", 0.093783, 11
10000, "Parallel (12)", 0.130946, 12
10000, "Parallel (13)", 0.238825, 13
10000, "Parallel (14)", 0.400119, 14
10000, "Parallel (15)", 0.466608, 15
10000, "Parallel (16)", 0.517686, 16
10000, "Built-in", 0.002291, 1
10000, "Sequential", 0.002405, 1
10000, "Parallel (2)", 0.003518, 2
10000, "Parallel (3)", 0.002294, 3
10000, "Parallel (4)", 0.002721, 4
10000, "Parallel (5)", 0.003185, 5
10000, "Parallel (6)", 0.004717, 6
10000, "Parallel (7)", 0.009046, 7
10000, "Parallel (8)", 0.022334, 8
10000, "Parallel (9)", 0.039523, 9
10000, "Parallel (10)", 0.042066, 10
10000, "Parallel (11)", 0.084470, 11
10000, "Parallel (12)", 0.139051, 12
10000, "Parallel (13)", 0.259836, 13
10000, "Parallel (14)", 0.266798, 14
10000, "Parallel (15)", 0.370634, 15
10000, "Parallel (16)", 0.537017, 16
10000, "Built-in", 0.002291, 1
10000, "Sequential", 0.002351, 1
10000, "Parallel (2)", 0.002139, 2
10000, "Parallel (3)", 0.002313, 3
10000, "Parallel (4)", 0.002495, 4
10000, "Parallel (5)", 0.002958, 5
10000, "Parallel (6)", 0.004740, 6
10000, "Parallel (7)", 0.008008, 7
10000, "Parallel (8)", 0.010521, 8
10000, "Parallel (9)", 0.037909, 9
10000, "Parallel (10)", 0.058489, 10
10000, "Parallel (11)", 0.089281, 11
10000, "Parallel (12)", 0.166791, 12
10000, "Parallel (13)", 0.202876, 13
10000, "Parallel (14)", 0.262315, 14
10000, "Parallel (15)", 0.433249, 15
10000, "Parallel (16)", 0.386495, 16
10000, "Built-in", 0.002416, 1
10000, "Sequential", 0.002364, 1
10000, "Parallel (2)", 0.002322, 2
10000, "Parallel (3)", 0.002484, 3
10000, "Parallel (4)", 0.002517, 4
10000, "Parallel (5)", 0.003111, 5
10000, "Parallel (6)", 0.004637, 6
10000, "Parallel (7)", 0.007667, 7
10000, "Parallel (8)", 0.016461, 8
10000, "Parallel (9)", 0.028085, 9
10000, "Parallel (10)", 0.030512, 10
10000, "Parallel (11)", 0.098321, 11
10000, "Parallel (12)", 0.107753, 12
10000, "Parallel (13)", 0.292475, 13
10000, "Parallel (14)", 0.379445, 14
10000, "Parallel (15)", 0.430624, 15
10000, "Parallel (16)", 0.382932, 16
10000, "Built-in", 0.002266, 1
10000, "Sequential", 0.002381, 1
10000, "Parallel (2)", 0.001921, 2
10000, "Parallel (3)", 0.002132, 3
10000, "Parallel (4)", 0.002854, 4
10000, "Parallel (5)", 0.003024, 5
10000, "Parallel (6)", 0.005146, 6
10000, "Parallel (7)", 0.009126, 7
10000, "Parallel (8)", 0.016378, 8
10000, "Parallel (9)", 0.025577, 9
10000, "Parallel (10)", 0.068011, 10
10000, "Parallel (11)", 0.113576, 11
10000, "Parallel (12)", 0.138681, 12
10000, "Parallel (13)", 0.217895, 13
10000, "Parallel (14)", 0.394496, 14
10000, "Parallel (15)", 0.448240, 15
10000, "Parallel (16)", 0.455428, 16
10000, "Built-in", 0.002275, 1
100000, "Sequential", 0.028759, 1
100000, "Parallel (2)", 0.024518, 2
100000, "Parallel (3)", 0.022975, 3
100000, "Parallel (4)", 0.029206, 4
100000, "Parallel (5)", 0.019458, 5
100000, "Parallel (6)", 0.021099, 6
100000, "Parallel (7)", 0.025764, 7
100000, "Parallel (8)", 0.042647, 8
100000, "Parallel (9)", 0.055703, 9
100000, "Parallel (10)", 0.096089, 10
100000, "Parallel (11)", 0.147841, 11
100000, "Parallel (12)", 0.221680, 12
100000, "Parallel (13)", 0.415452, 13
100000, "Parallel (14)", 0.877065, 14
100000, "Parallel (15)", 1.357492, 15
100000, "Parallel (16)", 1.678179, 16
100000, "Built-in", 0.026819, 1
100000, "Sequential", 0.029810, 1
100000, "Parallel (2)", 0.020868, 2
100000, "Parallel (3)", 0.020857, 3
100000, "Parallel (4)", 0.019262, 4
100000, "Parallel (5)", 0.020787, 5
100000, "Parallel (6)", 0.025587, 6
100000, "Parallel (7)", 0.026492, 7
100000, "Parallel (8)", 0.034314, 8
100000, "Parallel (9)", 0.054867, 9
100000, "Parallel (10)", 0.079958, 10
100000, "Parallel (11)", 0.156624, 11
100000, "Parallel (12)", 0.253644, 12
100000, "Parallel (13)", 0.430543, 13
100000, "Parallel (14)", 0.808519, 14
100000, "Parallel (15)", 0.997952, 15
100000, "Parallel (16)", 1.898114, 16
100000, "Built-in", 0.027242, 1
100000, "Sequential", 0.030465, 1
100000, "Parallel (2)", 0.028434, 2
100000, "Parallel (3)", 0.019797, 3
100000, "Parallel (4)", 0.026261, 4
100000, "Parallel (5)", 0.020346, 5
100000, "Parallel (6)", 0.023253, 6
100000, "Parallel (7)", 0.026209, 7
100000, "Parallel (8)", 0.033037, 8
100000, "Parallel (9)", 0.048661, 9
100000, "Parallel (10)", 0.079635, 10
100000, "Parallel (11)", 0.141469, 11
100000, "Parallel (12)", 0.286861, 12
100000, "Parallel (13)", 0.464351, 13
100000, "Parallel (14)", 0.818472, 14
100000, "Parallel (15)", 0.951684, 15
100000, "Parallel (16)", 1.502183, 16
100000, "Built-in", 0.027042, 1
100000, "Sequential", 0.031257, 1
100000, "Parallel (2)", 0.029544, 2
100000, "Parallel (3)", 0.020073, 3
100000, "Parallel (4)", 0.021938, 4
100000, "Parallel (5)", 0.019942, 5
100000, "Parallel (6)", 0.022744, 6
100000, "Parallel (7)", 0.026555, 7
100000, "Parallel (8)", 0.034198, 8
100000, "Parallel (9)", 0.054202, 9
100000, "Parallel (10)", 0.082329, 10
100000, "Parallel (11)", 0.144717, 11
100000, "Parallel (12)", 0.298717, 12
100000, "Parallel (13)", 0.499227, 13
100000, "Parallel (14)", 0.650875, 14
100000, "Parallel (15)", 1.056271, 15
100000, "Parallel (16)", 1.068095, 16
100000, "Built-in", 0.027164, 1
100000, "Sequential", 0.028407, 1
100000, "Parallel (2)", 0.024462, 2
100000, "Parallel (3)", 0.020464, 3
100000, "Parallel (4)", 0.019154, 4
100000, "Parallel (5)", 0.020317, 5
100000, "Parallel (6)", 0.027826, 6
100000, "Parallel (7)", 0.026689, 7
100000, "Parallel (8)", 0.040538, 8
100000, "Parallel (9)", 0.077483, 9
100000, "Parallel (10)", 0.116339, 10
100000, "Parallel (11)", 0.145926, 11
100000, "Parallel (12)", 0.287950, 12
100000, "Parallel (13)", 0.492298, 13
100000, "Parallel (14)", 0.651780, 14
100000, "Parallel (15)", 1.288383, 15
100000, "Parallel (16)", 1.519941, 16
100000, "Built-in", 0.026794, 1
1000000, "Sequential", 0.325814, 1
1000000, "Parallel (2)", 0.232518, 2
1000000, "Parallel (3)", 0.224838, 3
1000000, "Parallel (4)", 0.234292, 4
1000000, "Parallel (5)", 0.221181, 5
1000000, "Parallel (6)", 0.239381, 6
1000000, "Parallel (7)", 0.218260, 7
1000000, "Parallel (8)", 0.233248, 8
1000000, "Parallel (9)", 0.278263, 9
1000000, "Parallel (10)", 0.294037, 10
1000000, "Parallel (11)", 0.357395, 11
1000000, "Parallel (12)", 0.480494, 12
1000000, "Parallel (13)", 0.684000, 13
1000000, "Parallel (14)", 1.221583, 14
1000000, "Parallel (15)", 1.338956, 15
1000000, "Parallel (16)", 26.527740, 16
1000000, "Built-in", 0.366109, 1
1000000, "Sequential", 0.334101, 1
1000000, "Parallel (2)", 0.252951, 2
1000000, "Parallel (3)", 0.255951, 3
1000000, "Parallel (4)", 0.219960, 4
1000000, "Parallel (5)", 0.239725, 5
1000000, "Parallel (6)", 0.227407, 6
1000000, "Parallel (7)", 0.242220, 7
1000000, "Parallel (8)", 0.244489, 8
1000000, "Parallel (9)", 0.264520, 9
1000000, "Parallel (10)", 0.314133, 10
1000000, "Parallel (11)", 0.380450, 11
1000000, "Parallel (12)", 0.470289, 12
1000000, "Parallel (13)", 0.821537, 13
1000000, "Parallel (14)", 1.327273, 14
1000000, "Parallel (15)", 1.714759, 15
1000000, "Parallel (16)", 3.269326, 16
1000000, "Built-in", 0.324056, 1
1000000, "Sequential", 0.328913, 1
1000000, "Parallel (2)", 0.236903, 2
1000000, "Parallel (3)", 0.234747, 3
1000000, "Parallel (4)", 0.304130, 4
1000000, "Parallel (5)", 0.239822, 5
1000000, "Parallel (6)", 0.263808, 6
1000000, "Parallel (7)", 0.255341, 7
1000000, "Parallel (8)", 0.239535, 8
1000000, "Parallel (9)", 0.287108, 9
1000000, "Parallel (10)", 0.304241, 10
1000000, "Parallel (11)", 0.351021, 11
1000000, "Parallel (12)", 0.472563, 12
1000000, "Parallel (13)", 0.701891, 13
1000000, "Parallel (14)", 1.129300, 14
1000000, "Parallel (15)", 1.719730, 15
1000000, "Sequential", 0.375789, 1
1000000, "Parallel (2)", 0.252150, 2
1000000, "Parallel (3)", 0.249305, 3
1000000, "Parallel (4)", 0.230537, 4
1000000, "Parallel (5)", 0.236878, 5
1000000, "Parallel (6)", 0.217825, 6
1000000, "Parallel (7)", 0.234394, 7
1000000, "Parallel (8)", 0.233048, 8
1000000, "Parallel (9)", 0.278616, 9
1000000, "Parallel (10)", 0.322791, 10
1000000, "Parallel (11)", 0.376522, 11
1000000, "Parallel (12)", 0.489858, 12
1000000, "Parallel (13)", 0.766557, 13
1000000, "Parallel (14)", 1.197684, 14
1000000, "Parallel (15)", 1.925584, 15
1000000, "Parallel (16)", 2.678839, 16
1000000, "Built-in", 0.321506, 1
1000000, "Sequential", 0.340509, 1
1000000, "Parallel (2)", 0.250840, 2
1000000, "Parallel (3)", 0.234671, 3
1000000, "Parallel (4)", 0.222831, 4
1000000, "Parallel (5)", 0.222899, 5
1000000, "Parallel (6)", 0.220494, 6
1000000, "Parallel (7)", 0.224811, 7
1000000, "Parallel (8)", 0.238632, 8
1000000, "Parallel (9)", 0.267305, 9
1000000, "Parallel (10)", 0.298604, 10
1000000, "Parallel (11)", 0.358316, 11
1000000, "Parallel (12)", 0.563881, 12
1000000, "Parallel (13)", 0.812589, 13
1000000, "Parallel (14)", 1.212548, 14
1000000, "Parallel (15)", 1.731963, 15
1000000, "Parallel (16)", 2.950354, 16
1000000, "Built-in", 0.324208, 1
